,State,year,Share,Growth,Good Day Ratio,GREEN RATIO,SCORE,Total_emissions,Number_bill
179,Utah,2021,0.027,0.047,0.698,0.433,17.0,36111807.9,16
180,Vermont,2018,0.048,-0.028,0.906,0.303,40.5,45716261.6,0
181,Vermont,2019,0.049,-0.011,0.936,0.411,40.5,42713739.28,5
182,Vermont,2020,0.054,-0.084,0.942,0.388,40.0,37555131.7,2
183,Vermont,2021,0.052,0.028,0.913,0.293,36.5,33157885.1,4
184,Virginia,2018,0.022,0.252,0.913,0.492,16.0,440286.321,10
185,Virginia,2019,0.022,0.023,0.933,0.497,15.0,462945.492,9
186,Virginia,2020,0.024,-0.092,0.972,0.497,18.0,125123.5,4
187,Virginia,2021,0.024,0.057,0.914,0.497,19.5,130621.2,5
188,Washington,2018,0.023,-0.044,0.84,0.476,31.5,22873370.86,1
189,Washington,2019,0.022,-0.026,0.887,0.479,31.5,27231781.67,5
190,Washington,2020,0.023,-0.11,0.888,0.483,30.5,21060707.5,4
191,Washington,2021,0.022,0.054,0.885,0.491,31.5,19964688.6,8
192,West Virginia,2018,0.013,-0.026,0.883,0.159,5.5,50522035.62,2
193,West Virginia,2019,0.013,0.0,0.899,0.221,6.5,43221747.16,5
194,West Virginia,2020,0.014,-0.107,0.941,0.267,5.5,38765188.1,2
195,West Virginia,2021,0.014,0.06,0.867,0.238,4.0,42816174.2,13
196,Wisconsin,2018,0.025,-0.033,0.825,0.433,15.5,79195021.56,1
197,Wisconsin,2019,0.025,-0.014,0.879,0.454,16.0,74763816.99,0
198,Wisconsin,2020,0.025,-0.096,0.869,0.461,17.0,55264804.6,4
199,Wisconsin,2021,0.025,0.029,0.798,0.451,13.0,64494209.6,6
200,Wyoming,2018,0.03,-0.027,0.789,0.103,4.5,59346522.94,4
201,Wyoming,2019,0.03,-0.012,0.871,0.123,4.5,54599090.58,6
202,Wyoming,2020,0.031,-0.078,0.864,0.166,4.0,52036587.7,6
203,Wyoming,2021,0.031,0.023,0.79,0.187,2.0,50493436.4,12
